"country","SFTGcode","COW","risk_in_2021","risk_in_2021_22","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Mauritania","MAA",435,0.004751,0.00747,0,0,1,0,0,0,0,4.11087386417331,15.3523046566107,7.07813534767456,-1.48848721412935,0,1,1,0.62,0,1,3,1,2,0,1,1,0.812,0,0,0,1,-1.535,4.50723644294091,0
"Bolivia","BOL",145,0.00475,0.006784,0,0,0,0,0,0,0,5.27811465923052,16.2727915249973,4.60434577328854,-7.82328995009992,1,1,0,0.74,0,0,4,1,4,0,1,1,0.67,0,0,0,1,0.926,4.03242140431637,0
"Saudi Arabia","SAU",670,0.004722,0.007328,0,0,0,0,0,1,0,4.48863636973214,17.3655263423853,2.38746727726266,-4.10658341159909,0,1,1,0.18,0,1,0,1,0,0,0,0,0.179,1,1,0,1,-1.235,3.92399860580939,0
"Tunisia","TUN",616,0.004568,0.006622,0,0,0,0,0,1,0,4.17438726989564,16.2851866426327,3.80788655293195,-8.60031028272616,1,1,0,0.04,0,1,4,2,3,0,1,1,0.79,0,0,0,0,1.529,4.68133566811414,0
"Benin","BEN",434,0.004557,0.00676,0,0,1,0,0,0,0,4.11087386417331,16.3106313651863,7.68114574786861,3.84879240030133,1,1,0,0.79,0,1,4,1,4,0,1,1,0.696,0,1,0,0,0.972,3.80294968085916,0
"Canada","CAN",20,0.004373,0.006067,0,0,0,0,0,0,0,5.03695260241363,17.4532345502966,2.04939015319192,-5.40279855256868,1,1,0,0.71,0,1,4,1,4,0,1,1,0.954,0,0,0,0,1.754,4.09389105392381,0
"United States of America","USA",2,0.004373,0.007539,0,0,0,0,0,0,0,5.47227067367148,19.6130387256169,2.36643191323985,-3.4861395571143,0,1,0,0.49,0,1,4,1,4,0,1,1,0.938,0,1,0,0,0.893,3.27010701295332,0
"Jordan","JOR",663,0.004346,0.0092,0,1,0,0,0,1,0,4.31748811353631,16.1382060740178,3.66060104354463,-1.5513843252939,0,1,0,0.59,0,1,4,1,2,0,1,0,0.698,0,1,0,1,0.657,4.18009284825553,0
"United Arab Emirates","UAE",696,0.004251,0.006642,0,0,0,0,0,1,0,3.91202300542815,16.1070751476749,2.5298221281347,1.67772037080395,0,1,1,0.63,0,1,0,1,3,0,0,0,0.401,0,1,0,1,-0.911,5.08100734757914,0
"Guinea-Bissau","GNB",404,0.004236,0.005654,0,0,1,0,0,0,0,3.85014760171006,14.4925273403337,7.23187389270582,-2.39999999921721,1,1,0,0.81,0,1,3,1,4,0,1,1,0.799,0,0,0,1,-0.249,3.77587883954095,0
"Swaziland","SWA",572,0.003982,0.004388,0,0,1,0,0,0,0,3.97029191355212,13.9640719323998,6.21288982680363,-1.63702750696856,0,1,1,0.06,0,1,0,1,3,0,0,0,0.158,0,0,0,1,-0.798,4.48967246973919,0
"Namibia","NAM",565,0.003887,0.005321,0,0,1,0,0,0,0,3.43398720448515,14.7480352039046,5.54075807087803,-7.98354382508364,1,1,0,0.63,0,1,4,1,4,0,1,1,0.853,0,0,0,1,0.655,4.31089124374724,0
"Belarus","BLR",370,0.003825,0.004818,0,0,0,0,1,0,0,3.40119738166216,16.0560990696858,1.54919333848297,-0.900000000246891,1,1,0,0.32,0,1,4,1,2,0,0,0,0.08,0,1,0,0,1.76,4.79316191278517,0
"Lebanon","LEB",660,0.003665,0.006136,0,0,0,0,0,1,0,4.35670882668959,15.7361676588431,2.48997991959775,-20.2999931945589,0,1,0,0.13,0,1,4,1,4,0,1,0,0.805,0,0,0,1,-0.844,4.27282483790286,0
"Cuba","CUB",40,0.003603,0.004902,0,1,0,0,0,0,0,5.03043792139244,16.2426659123104,1.94935886896179,0.016,0,1,0,0.59,0,1,0,1,3,0,0,0,0.112,0,1,0,1,2.025,3.29907075253221,0
"Djibouti","DJI",522,0.003594,0.004329,0,0,1,0,0,0,0,3.78418963391826,13.8034400010195,6.95701085237043,0.499999999999986,1,1,0,0.8,0,0,3,1,3,0,1,0,0.544,0,0,0,1,-0.478,5.68281457667649,0
"Bosnia and Herzegovina","BOS",346,0.003582,0.004972,0,1,0,0,1,0,0,3.36729582998647,15.0036024251051,2.25831795812724,-4.32734580579653,1,1,0,0.63,0,1,4,1,3,0,1,0,0.599,0,0,0,1,0.541,4.42189726101137,0
"Honduras","HON",91,0.003371,0.004354,0,0,0,0,0,0,0,5.20948615284142,16.1085106613599,3.80788655293195,-8.96476018404584,1,1,0,0.19,0,1,4,1,4,0,1,1,0.835,0,0,0,1,-1.462,4.45147976309439,0
"Croatia","CRO",344,0.00336,0.004582,0,0,0,0,1,0,0,3.40119738166216,15.2135358419599,2.02484567313166,-8.36737821725714,1,1,0,0.37,0,1,4,1,4,0,0,1,0.838,0,1,0,1,0.625,4.50593680289802,0
"Botswana","BOT",571,0.00329,0.00464,0,0,1,0,0,0,0,4.00733318523247,14.6706171365134,5.68330889535313,-7.89305358895749,0,1,0,0.41,0,0,4,1,4,0,1,1,0.91,0,0,0,0,0.461,4.33114515169337,0
